sector,okved2,year,RDcosts_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2017,480.5966
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2018,401.5427
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2019,332.1868
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2020,644.7164
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021,481.1109
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2022,502.6592
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023,485.4744
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024,565.9757
Выращивание однолетних культур,01.1,2024,108.6482
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024,
Выращивание зерновых культур,01.11.1,2024,
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2024,
Выращивание овощей,01.13.1,2024,
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2024,
Животноводство,01.4,2024,
Разведение свиней,01.46,2024,
Разведение сельскохозяйственной птицы,01.47,2024,
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2024,
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2024,347.09540000000004
Предоставление услуг в области растениеводства,01.61,2024,234.031
Деятельность сельскохозяйственная после сбора урожая,01.63,2024,
Лесоводство и лесозаготовки,02,2017,
 Лесоводство и лесозаготовки,02,2018,
Лесоводство и лесозаготовки,02,2019,
Лесоводство и лесозаготовки,02,2024,
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2024,
Предоставление услуг в области лесоводства,02.40.1,2024,
,05,2018,1.467
Добыча сырой нефти и природного газа,06,2017,
Добыча сырой нефти и природного газа,06,2018,
 Добыча нефти и природного газа,06,2019,
 Добыча нефти и природного газа,06,2020,
 Добыча нефти и природного газа,06,2021,
,07,2018,31.973
Добыча прочих полезных ископаемых,08,2023,
Добыча прочих полезных ископаемых,08,2024,
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2024,
"Добыча прочих полезных ископаемых, не включенных в другие группировки",08.99,2024,
